UnderlyingSymbol,UnderlyingPrice,Flags,OptionSymbol,Type,Expiration, DataDate,Strike,Last,Bid,Ask,Volume,OpenInterest,T1OpenInterest,IVMean,IVBid,IVAsk,Delta,Gamma,Theta,Vega,AKA
A,69.59,*,A190816C00042500,call,08/16/2019,08/15/2019,42.5,0,25.05,29.5,0,0,0,1.0356,0,16.8732,1,0,-0.9762,0,A190816C00042500
A,69.59,*,A190816P00042500,put,08/16/2019,08/15/2019,42.5,0,0,0.04,0,0,0,1.2329,0,7.0399,0,0,0,0,A190816P00042500
A,69.59,*,A190816C00045000,call,08/16/2019,08/15/2019,45,0,22.35,27,0,0,0,1.0356,0,15.4143,1,0,-1.0336,0,A190816C00045000
